date,iso,downloads,revenue,name,store,code,launch_date,weeks_since_launch
2023-05-22,AU,0,0.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,0
2023-05-29,AU,32967,3483.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,1
2023-06-05,AU,56871,5044.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,2
2023-06-12,AU,48202,3914.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,3
2023-06-19,AU,38230,3575.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,4
2023-06-26,AU,31130,4053.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,5
2023-07-03,AU,30326,5214.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,6
2023-07-10,AU,29316,5376.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,7
2023-07-17,AU,28992,4795.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,8
2023-07-24,AU,34969,8263.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,9
2023-07-31,AU,39029,11095.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,10
2023-08-07,AU,36953,9308.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,11
2023-08-14,AU,35018,10219.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,12
2023-08-21,AU,37780,10518.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,13
2023-08-28,AU,42823,16271.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,14
2023-09-04,AU,39705,14505.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,15
2023-09-11,AU,42110,14983.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,16
2023-09-18,AU,33560,13619.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,17
2023-09-25,AU,37643,28022.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,18
2023-10-02,AU,41602,28235.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,19
2023-10-09,AU,47965,24156.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,20
2023-10-16,AU,57310,24872.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,21
2023-10-23,AU,55172,30518.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,22
2023-10-30,AU,38241,36014.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,23
2023-11-06,AU,45477,43075.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,24
2023-11-13,AU,65250,31910.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,25
2023-11-20,AU,62446,20374.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,26
2023-11-27,AU,70216,29399.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,27
2023-12-04,AU,58151,35758.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,28
2023-12-11,AU,43366,51534.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,29
2023-12-18,AU,32543,41200.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,30
2023-12-25,AU,30839,41760.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,31
2024-01-01,AU,34588,45074.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,32
2024-01-08,AU,32782,54089.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,33
2024-01-15,AU,31790,51525.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,34
2024-01-22,AU,33579,45871.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,35
2024-01-29,AU,30029,53942.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,36
2024-02-05,AU,31034,52375.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,37
2024-02-12,AU,29500,52367.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,38
2024-02-19,AU,32931,46468.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,39
2024-02-26,AU,31401,54609.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,40
2024-03-04,AU,36096,53009.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,41
2024-03-11,AU,37164,58804.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,42
2024-03-18,AU,37936,54006.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,43
2024-03-25,AU,32268,54580.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,44
2024-04-01,AU,30514,55590.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,45
2024-04-08,AU,27397,60534.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,46
2024-04-15,AU,26955,61874.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,47
2024-04-22,AU,25855,58646.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,48
2024-04-29,AU,27377,64600.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,49
2024-05-06,AU,28279,65009.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,50
2024-05-13,AU,41897,118782.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,51
2024-05-20,AU,38496,101086.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,52
2024-05-27,AU,30518,89546.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,53
2024-06-03,AU,30364,89779.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,54
2024-06-10,AU,34390,115934.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,55
2024-06-17,AU,35919,114407.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,56
2024-06-24,AU,36056,110875.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,57
2024-07-01,AU,29289,109724.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,58
2024-07-08,AU,29722,109249.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,59
2024-07-15,AU,29223,131178.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,60
2024-07-22,AU,31782,122415.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,61
2024-07-29,AU,28746,118665.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,62
2024-08-05,AU,31650,139279.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,63
2024-08-12,AU,42002,169195.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,64
2024-08-19,AU,52708,170744.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,65
2024-08-26,AU,38381,155925.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,66
2024-09-02,AU,38484,173600.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,67
2024-09-09,AU,37715,195032.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,68
2024-09-16,AU,40326,196584.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,69
2024-09-23,AU,35754,192921.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,70
2024-09-30,AU,36160,204939.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,71
2024-10-07,AU,36086,203927.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,72
2024-10-14,AU,34100,211802.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,73
2024-10-21,AU,33304,202388.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,74
2024-10-28,AU,33095,195053.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,75
2024-11-04,AU,37175,183997.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,76
2024-11-11,AU,46019,187979.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,77
2024-11-18,AU,44733,189478.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,78
2024-11-25,AU,40251,184841.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,79
2024-12-02,AU,31713,193456.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,80
2024-12-09,AU,41000,195374.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,81
2024-12-16,AU,38083,183759.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,82
2024-12-23,AU,33259,186259.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,83
2024-12-30,AU,35879,194404.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,84
2025-01-06,AU,50707,196856.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,85
2025-01-13,AU,38152,234321.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,86
2025-01-20,AU,46769,233175.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,87
2025-01-27,AU,43294,228875.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,88
2025-02-03,AU,45293,296387.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,89
2025-02-10,AU,52095,327426.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,90
2025-02-17,AU,54801,339559.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,91
2025-02-24,AU,53982,381574.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,92
2025-03-03,AU,36270,404661.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,93
2025-03-10,AU,49724,425371.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,94
2025-03-17,AU,56319,441583.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,95
2025-03-24,AU,54971,605407.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,96
2025-03-31,AU,49270,720634.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,97
2025-04-07,AU,49502,779670.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,98
2025-04-14,AU,47987,728810.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,99
2025-04-21,AU,41140,716685.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,100
2025-04-28,AU,49461,831497.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,101
2025-05-05,AU,54033,829627.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,102
2025-05-12,AU,52483,932808.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,103
2025-05-19,AU,53391,905993.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,104
2025-05-26,AU,50610,1023724.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,105
2025-06-02,AU,53435,994624.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,106
2025-06-09,AU,53463,1137753.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,107
2025-06-16,AU,51945,1076198.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,108
2025-06-23,AU,51088,1040627.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,109
2025-06-30,AU,52165,768176.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,110
2025-07-07,AU,50605,708980.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,111
2025-07-14,AU,44111,700692.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,112
2025-07-21,AU,45510,573673.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,113
2025-07-28,AU,45955,630164.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,114
2025-08-04,AU,44157,626673.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,115
2025-08-11,AU,43088,700245.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,116
2025-08-18,AU,41426,652261.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,117
2025-08-25,AU,43156,659532.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,118
2025-09-01,AU,44905,707506.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,119
2025-09-08,AU,40557,759944.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,120
2025-09-15,AU,38982,731674.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,121
2025-09-22,AU,41796,729464.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,122
2025-09-29,AU,39249,804775.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,123
2025-10-06,AU,43065,712949.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,124
2025-10-13,AU,43542,719825.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,125
2025-10-20,AU,42007,688633.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,126
2025-10-27,AU,37833,732581.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,127
2025-11-03,AU,37289,723924.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,128
2025-11-10,AU,38420,708185.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,129
2025-11-17,AU,36805,692623.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,130
2023-05-22,BR,85592,3712.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,0
2023-05-29,BR,141653,6747.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,1
2023-06-05,BR,126108,3782.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,2
2023-06-12,BR,132836,3872.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,3
2023-06-19,BR,95417,3986.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,4
2023-06-26,BR,95917,9896.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,5
2023-07-03,BR,79429,7187.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,6
2023-07-10,BR,82488,7673.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,7
2023-07-17,BR,60267,4452.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,8
2023-07-24,BR,67561,12319.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,9
2023-07-31,BR,74203,13244.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,10
2023-08-07,BR,79552,11370.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,11
2023-08-14,BR,85644,12102.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,12
2023-08-21,BR,87741,14981.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,13
2023-08-28,BR,134150,16995.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,14
2023-09-04,BR,81214,14010.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,15
2023-09-11,BR,108136,13594.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,16
2023-09-18,BR,101351,12210.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,17
2023-09-25,BR,105335,21755.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,18
2023-10-02,BR,84446,21248.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,19
2023-10-09,BR,59739,18978.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,20
2023-10-16,BR,89112,20808.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,21
2023-10-23,BR,108143,30385.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,22
2023-10-30,BR,72782,28852.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,23
2023-11-06,BR,72743,30686.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,24
2023-11-13,BR,71232,22566.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,25
2023-11-20,BR,78708,18839.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,26
2023-11-27,BR,80552,25595.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,27
2023-12-04,BR,76774,27748.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,28
2023-12-11,BR,121757,41421.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,29
2023-12-18,BR,47645,35839.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,30
2023-12-25,BR,58709,45093.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,31
2024-01-01,BR,45993,39728.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,32
2024-01-08,BR,45543,47890.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,33
2024-01-15,BR,48054,58160.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,34
2024-01-22,BR,53750,55251.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,35
2024-01-29,BR,47456,57540.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,36
2024-02-05,BR,49966,50074.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,37
2024-02-12,BR,57778,71050.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,38
2024-02-19,BR,80882,67905.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,39
2024-02-26,BR,92147,84434.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,40
2024-03-04,BR,89159,85308.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,41
2024-03-11,BR,83981,90083.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,42
2024-03-18,BR,85425,87803.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,43
2024-03-25,BR,77003,87499.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,44
2024-04-01,BR,81408,93842.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,45
2024-04-08,BR,81957,93976.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,46
2024-04-15,BR,79241,106967.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,47
2024-04-22,BR,71684,98223.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,48
2024-04-29,BR,56660,113832.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,49
2024-05-06,BR,62649,113571.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,50
2024-05-13,BR,86144,141964.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,51
2024-05-20,BR,91693,140479.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,52
2024-05-27,BR,72778,121836.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,53
2024-06-03,BR,100363,143791.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,54
2024-06-10,BR,133946,176950.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,55
2024-06-17,BR,132775,204129.0,ChatGPT,apple,ChatGPT_apple,2023-05-22,56
