date,iso,avg_rating,total_ratings,new_avg_rating,new_ratings,name,store,code
2022-12-26,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-02,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-09,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-16,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-23,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-30,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-06,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-13,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-20,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-27,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-06,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-13,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-20,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-27,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-03,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-10,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-17,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-24,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-01,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-08,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-15,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-22,AU,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-29,AU,4.61,93.0,4.61,93.0,ChatGPT,apple,ChatGPT_apple
2023-06-05,AU,4.48,144.0,4.24,51.0,ChatGPT,apple,ChatGPT_apple
2023-06-12,AU,4.51,181.0,4.65,37.0,ChatGPT,apple,ChatGPT_apple
2023-06-19,AU,4.49,205.0,4.33,24.0,ChatGPT,apple,ChatGPT_apple
2023-06-26,AU,4.47,215.0,3.9,10.0,ChatGPT,apple,ChatGPT_apple
2023-07-03,AU,4.44,241.0,4.23,26.0,ChatGPT,apple,ChatGPT_apple
2023-07-10,AU,4.4,263.0,3.91,22.0,ChatGPT,apple,ChatGPT_apple
2023-07-17,AU,4.38,270.0,3.86,7.0,ChatGPT,apple,ChatGPT_apple
2023-07-24,AU,4.34,282.0,3.5,12.0,ChatGPT,apple,ChatGPT_apple
2023-07-31,AU,4.33,295.0,4.0,13.0,ChatGPT,apple,ChatGPT_apple
2023-08-07,AU,4.32,302.0,4.0,7.0,ChatGPT,apple,ChatGPT_apple
2023-08-14,AU,4.33,312.0,4.6,10.0,ChatGPT,apple,ChatGPT_apple
2023-08-21,AU,4.32,322.0,3.9,10.0,ChatGPT,apple,ChatGPT_apple
2023-08-28,AU,4.32,326.0,4.75,4.0,ChatGPT,apple,ChatGPT_apple
2023-09-04,AU,4.67,839.0,4.88,513.0,ChatGPT,apple,ChatGPT_apple
2023-09-11,AU,4.82,3324.0,4.87,2485.0,ChatGPT,apple,ChatGPT_apple
2023-09-18,AU,4.85,5965.0,4.9,2641.0,ChatGPT,apple,ChatGPT_apple
2023-09-25,AU,4.87,8507.0,4.9,2542.0,ChatGPT,apple,ChatGPT_apple
2023-10-02,AU,4.87,11133.0,4.88,2626.0,ChatGPT,apple,ChatGPT_apple
2023-10-09,AU,4.87,13797.0,4.87,2664.0,ChatGPT,apple,ChatGPT_apple
2023-10-16,AU,4.87,16384.0,4.88,2587.0,ChatGPT,apple,ChatGPT_apple
2023-10-23,AU,4.87,19045.0,4.86,2661.0,ChatGPT,apple,ChatGPT_apple
2023-10-30,AU,4.88,21594.0,4.91,2549.0,ChatGPT,apple,ChatGPT_apple
2023-11-06,AU,4.87,24246.0,4.85,2652.0,ChatGPT,apple,ChatGPT_apple
2023-11-13,AU,4.87,26999.0,4.88,2753.0,ChatGPT,apple,ChatGPT_apple
2023-11-20,AU,4.87,29450.0,4.85,2451.0,ChatGPT,apple,ChatGPT_apple
2023-11-27,AU,4.87,31810.0,4.85,2360.0,ChatGPT,apple,ChatGPT_apple
2023-12-04,AU,4.87,34059.0,4.84,2249.0,ChatGPT,apple,ChatGPT_apple
2023-12-11,AU,4.87,36082.0,4.84,2023.0,ChatGPT,apple,ChatGPT_apple
2023-12-18,AU,4.87,37974.0,4.84,1892.0,ChatGPT,apple,ChatGPT_apple
2023-12-25,AU,4.86,39472.0,4.83,1498.0,ChatGPT,apple,ChatGPT_apple
2024-01-01,AU,4.86,41303.0,4.84,1831.0,ChatGPT,apple,ChatGPT_apple
2024-01-08,AU,4.86,43319.0,4.84,2016.0,ChatGPT,apple,ChatGPT_apple
2024-01-15,AU,4.86,45330.0,4.81,2011.0,ChatGPT,apple,ChatGPT_apple
2024-01-22,AU,4.86,47360.0,4.84,2030.0,ChatGPT,apple,ChatGPT_apple
2024-01-29,AU,4.86,49389.0,4.83,2029.0,ChatGPT,apple,ChatGPT_apple
2024-02-05,AU,4.86,51339.0,4.85,1950.0,ChatGPT,apple,ChatGPT_apple
2024-02-12,AU,4.86,52906.0,4.84,1567.0,ChatGPT,apple,ChatGPT_apple
2024-02-19,AU,4.86,53618.0,4.84,712.0,ChatGPT,apple,ChatGPT_apple
2024-02-26,AU,4.86,54309.0,4.8,691.0,ChatGPT,apple,ChatGPT_apple
2024-03-04,AU,4.85,54901.0,4.79,592.0,ChatGPT,apple,ChatGPT_apple
2024-03-11,AU,4.85,55398.0,4.79,497.0,ChatGPT,apple,ChatGPT_apple
2024-03-18,AU,4.85,55895.0,4.9,497.0,ChatGPT,apple,ChatGPT_apple
2024-03-25,AU,4.85,56314.0,4.82,419.0,ChatGPT,apple,ChatGPT_apple
2024-04-01,AU,4.85,56758.0,4.86,444.0,ChatGPT,apple,ChatGPT_apple
2024-04-08,AU,4.85,57169.0,4.81,411.0,ChatGPT,apple,ChatGPT_apple
2024-04-15,AU,4.85,57625.0,4.78,456.0,ChatGPT,apple,ChatGPT_apple
2024-04-22,AU,4.85,58053.0,4.83,428.0,ChatGPT,apple,ChatGPT_apple
2024-04-29,AU,4.85,58472.0,4.77,419.0,ChatGPT,apple,ChatGPT_apple
2024-05-06,AU,4.85,58896.0,4.79,424.0,ChatGPT,apple,ChatGPT_apple
2024-05-13,AU,4.85,59779.0,4.77,883.0,ChatGPT,apple,ChatGPT_apple
2024-05-20,AU,4.85,61053.0,4.82,1274.0,ChatGPT,apple,ChatGPT_apple
2024-05-27,AU,4.85,62110.0,4.82,1057.0,ChatGPT,apple,ChatGPT_apple
2024-06-03,AU,4.85,63128.0,4.83,1018.0,ChatGPT,apple,ChatGPT_apple
2024-06-10,AU,4.85,64140.0,4.88,1012.0,ChatGPT,apple,ChatGPT_apple
2024-06-17,AU,4.85,65105.0,4.87,965.0,ChatGPT,apple,ChatGPT_apple
2024-06-24,AU,4.85,66106.0,4.86,1001.0,ChatGPT,apple,ChatGPT_apple
2024-07-01,AU,4.85,67006.0,4.88,900.0,ChatGPT,apple,ChatGPT_apple
2024-07-08,AU,4.85,67850.0,4.84,844.0,ChatGPT,apple,ChatGPT_apple
2024-07-15,AU,4.85,68765.0,4.88,915.0,ChatGPT,apple,ChatGPT_apple
2024-07-22,AU,4.85,69723.0,4.86,958.0,ChatGPT,apple,ChatGPT_apple
2024-07-29,AU,4.85,70743.0,4.85,1020.0,ChatGPT,apple,ChatGPT_apple
2024-08-05,AU,4.85,71822.0,4.85,1079.0,ChatGPT,apple,ChatGPT_apple
2024-08-12,AU,4.85,73020.0,4.85,1198.0,ChatGPT,apple,ChatGPT_apple
2024-08-19,AU,4.85,74290.0,4.88,1270.0,ChatGPT,apple,ChatGPT_apple
2024-08-26,AU,4.85,75611.0,4.82,1321.0,ChatGPT,apple,ChatGPT_apple
2024-09-02,AU,4.85,76904.0,4.91,1293.0,ChatGPT,apple,ChatGPT_apple
2024-09-09,AU,4.85,78226.0,4.88,1322.0,ChatGPT,apple,ChatGPT_apple
2024-09-16,AU,4.85,79834.0,4.88,1608.0,ChatGPT,apple,ChatGPT_apple
2024-09-23,AU,4.85,81339.0,4.84,1505.0,ChatGPT,apple,ChatGPT_apple
2024-09-30,AU,4.85,82798.0,4.86,1459.0,ChatGPT,apple,ChatGPT_apple
2024-10-07,AU,4.85,84357.0,4.87,1559.0,ChatGPT,apple,ChatGPT_apple
2024-10-14,AU,4.85,85941.0,4.88,1584.0,ChatGPT,apple,ChatGPT_apple
2024-10-21,AU,4.85,87517.0,4.86,1576.0,ChatGPT,apple,ChatGPT_apple
2024-10-28,AU,4.85,89136.0,4.85,1619.0,ChatGPT,apple,ChatGPT_apple
2024-11-04,AU,4.85,90724.0,4.83,1588.0,ChatGPT,apple,ChatGPT_apple
2024-11-11,AU,4.85,92464.0,4.85,1740.0,ChatGPT,apple,ChatGPT_apple
2024-11-18,AU,4.85,94281.0,4.89,1817.0,ChatGPT,apple,ChatGPT_apple
2024-11-25,AU,4.85,95786.0,4.86,1505.0,ChatGPT,apple,ChatGPT_apple
2024-12-02,AU,4.85,97459.0,4.88,1673.0,ChatGPT,apple,ChatGPT_apple
2024-12-09,AU,4.86,99057.0,4.9,1598.0,ChatGPT,apple,ChatGPT_apple
2024-12-16,AU,4.86,100674.0,4.87,1617.0,ChatGPT,apple,ChatGPT_apple
2024-12-23,AU,4.86,102066.0,4.89,1392.0,ChatGPT,apple,ChatGPT_apple
