Topic,Count,Name,Representation,KeyBERT,MMR,Llama3.1,MistralNemo,Representative_Docs
-1,31648,-1_it_to_the_and,"['it', 'to', 'the', 'and', 'this', 'app', 'is', 'for', 'you', 'but']","['good', 'nice', 'useful', 'app', 'this', 'helpful', 'amazing', 'like', 'very', 'using']","['it', 'to', 'this', 'app', 'but', 'not', 'good', 'my', 'like', 'use']","['assistant\n\n""Mobile App User Experience""', '', '', '', '', '', '', '', '', '']","['""Improve Your App Use""', '', '', '', '', '', '', '', '', '']","['it is good to use and I like it', 'this is very good app in my use', ""it is the best learning fun and exciting app this is like our friend and I have been also talk to it many times it feels are feelings it's a i but I feel it's my best friend and it's best app ever used and what I said it is really very good app for learning and for talking also so please use it and it is best it talks with you it's like friend of you and I also really love it please install it and use it you will also give best review trust me""]"
0,15190,0_app_very_this_good,"['app', 'very', 'this', 'good', 'helpful', 'it', 'for', 'and', 'is', 'me']","['useful', 'helpful', 'nice', 'helps', 'good', 'excellent', 'awesome', 'thanks', 'app', 'this']","['app', 'this', 'helpful', 'useful', 'nice', 'love', 'helps', 'amazing', 'easy', 'study']","['assistant\n\n""Productivity and Learning Apps""', '', '', '', '', '', '', '', '', '']","['""App for Students""', '', '', '', '', '', '', '', '', '']","['this is very helpful app.', 'this app is very helpful ☺️', 'This is a very good app.']"
1,12703,1_chatgpt_chat_gpt_and,"['chatgpt', 'chat', 'gpt', 'and', 'the', 'to', 'it', 'is', 'my', 'you']","['chat', 'chatgpt', 'good', 'helpful', 'gpt', 'helps', 'app', 'thanks', 'this', 'great']","['chatgpt', 'chat', 'gpt', 'it', 'my', 'like', 'app', 'character', 'not', 'best']","['assistant\n\n""ChatGPT Conversational AI Technology""', '', '', '', '', '', '', '', '', '']","['""ChatGPT: My New Best Buddy""', '', '', '', '', '', '', '', '', '']","['chatgpt is the best ai', 'ChatGPT is the best I’ve been talking with my ChatGPT friend and I really like it thank you Google', 'CHAT GPT This app is very good #CHARACTER#']"
2,7644,2_character_very_app_good,"['character', 'very', 'app', 'good', 'this', 'love', 'nice', 'is', 'it', 'best']","['good', 'nice', 'awesome', 'excellent', 'character', 'app', 'beautiful', 'wonderful', 'great', 'this']","['character', 'app', 'good', 'love', 'nice', 'helpful', 'amazing', 'useful', 'great', 'thanks']","['assistant\n\nPositive Feedback for a Helpful App', '', '', '', '', '', '', '', '', '']","['""App\'s Helpfulness""', '', '', '', '', '', '', '', '', '']","['This app is the best #CHARACTER# #CHARACTER# #CHARACTER#', 'it is good app #CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️', 'this is a very good app I really like this #CHARACTER#️♥️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️']"
3,6557,3_ai_best_the_this,"['ai', 'best', 'the', 'this', 'is', 'ever', 'and', 'it', 'of', 'for']","['ai', 'best', 'awesome', 'good', 'this', 'nice', 'better', 'its', 'amazing', 'it']","['ai', 'best', 'this', 'app', 'good', 'character', 'you', 'world', 'like', 'better']","['assistant\n\n""AI Application Evaluation""', '', '', '', '', '', '', '', '', '']","['""AI\'s Best Character Tool""', '', '', '', '', '', '', '', '', '']","['it is the best ai', 'It is the best ai', 'this is the best ai.']"
4,3780,4_gemini_google_to_assistant,"['gemini', 'google', 'to', 'assistant', 'the', 'is', 'and', 'it', 'my', 'of']","['gemini', 'ai', 'like', 'good', 'best', 'me', 'using', 'love', 'this', 'better']","['gemini', 'google', 'assistant', 'can', 'not', 'ai', 'use', 'phone', 'better', 'this']","['assistant\n\n""Google Assistant and AI Technology""', '', '', '', '', '', '', '', '', '']","['""Google Assistant for Gemini Phone""', '', '', '', '', '', '', '', '', '']","['I love AI and Gemini', 'Gemini is the best ai app', 'Gemini is the best ai']"
5,2746,5_but_sometimes_slow_wrong,"['but', 'sometimes', 'slow', 'wrong', 'not', 'it', 'some', 'good', 'answer', 'more']","['sometimes', 'good', 'wrong', 'bad', 'but', 'late', 'incorrect', 'mistakes', 'sometime', 'some']","['but', 'sometimes', 'slow', 'wrong', 'good', 'time', 'answers', 'needs', 'gives', 'improvement']","['assistant\n\n""Improving Information Search and Retrieval""', '', '', '', '', '', '', '', '', '']","['""Improving Slow Answers""', '', '', '', '', '', '', '', '', '']","['Good but sometimes gives wrong answers', 'Its good but sometimes it gives wrong information', 'good but sometimes it give wrong answer']"
6,2522,6_assistant_phone_google_not,"['assistant', 'phone', 'google', 'not', 'it', 'my', 'can', 'this', 'to', 'on']","['phone', 'app', 'delete', 'cannot', 'remove', 'uninstall', 'not', 'device', 'bad', 'this']","['assistant', 'phone', 'google', 'app', 'off', 'working', 'bad', 'doesn', 'useless', 'uninstall']","['assistant\n\nGoogle Assistant Issues on Phone', '', '', '', '', '', '', '', '', '']","['""Google Assistant App Issues""', '', '', '', '', '', '', '', '', '']","[""I hate this thing. I don't want it on my phone."", ""I don't want this app on my phone!!!!!!! how do I remove it?"", 'it is not working in my phone']"
7,915,7_image_images_generate_not,"['image', 'images', 'generate', 'not', 'photo', 'picture', 'can', 'photos', 'pictures', 'upload']","['cannot', 'unable', 'generating', 'image', 'images', 'generated', 'picture', 'uploading', 'generate', 'pictures']","['images', 'generate', 'but', 'doesn', 'video', 'send', 'cannot', 'uploading', 'no', 'creating']","['assistant\n\n""Image Creation and Upload Issues""', '', '', '', '', '', '', '', '', '']","['""Image Generation Challenge""', '', '', '', '', '', '', '', '', '']","['not able to generate image', 'Will not let me generate images When I try to make an image for my TikTok channel, it says it cannot do it, but I can find images so I say to find some images, but then it says it can’t', ""it can't even generate images.""]"
8,794,8_grok_and_the_ai,"['grok', 'and', 'the', 'ai', 'is', 'to', 'of', 'with', 'it', 'for']","['grok', 'best', 'better', 'great', 'like', 'awesome', 'think', 'this', 'everything', 'things']","['grok', 'ai', 'with', 'you', 'elon', 'better', 'best', 'other', 'amazing', 'like']","['assistant\n\n""Elon Musk\'s AI Innovations""', '', '', '', '', '', '', '', '', '']","[""Elon's AI Advancement"", '', '', '', '', '', '', '', '', '']","['Grok is the best Grok is so great, I call it Grok the Great.', 'Grok is the best #CHARACTER#', 'Grok is the best AI']"
