Topic,Count,Name,Representation,KeyBERT,MMR,Llama3.1,MistralNemo,Representative_Docs,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count,stars_mean
-1,31648,-1_it_to_the_and,"['it', 'to', 'the', 'and', 'this', 'app', 'is', 'for', 'you', 'but']","['good', 'nice', 'useful', 'app', 'this', 'helpful', 'amazing', 'like', 'very', 'using']","['it', 'to', 'this', 'app', 'but', 'not', 'good', 'my', 'like', 'use']","['assistant\n\n""Mobile App User Experience""', '', '', '', '', '', '', '', '', '']","['""Improve Your App Use""', '', '', '', '', '', '', '', '', '']",,6059,1448,2168,3786,18187,3.8403058645096055
0,15190,0_app_very_this_good,"['app', 'very', 'this', 'good', 'helpful', 'it', 'for', 'and', 'is', 'me']","['useful', 'helpful', 'nice', 'helps', 'good', 'excellent', 'awesome', 'thanks', 'app', 'this']","['app', 'this', 'helpful', 'useful', 'nice', 'love', 'helps', 'amazing', 'easy', 'study']","['assistant\n\n""Productivity and Learning Apps""', '', '', '', '', '', '', '', '', '']","['""App for Students""', '', '', '', '', '', '', '', '', '']",,180,63,324,1287,13336,4.812771560236998
1,12703,1_chatgpt_chat_gpt_and,"['chatgpt', 'chat', 'gpt', 'and', 'the', 'to', 'it', 'is', 'my', 'you']","['chat', 'chatgpt', 'good', 'helpful', 'gpt', 'helps', 'app', 'thanks', 'this', 'great']","['chatgpt', 'chat', 'gpt', 'it', 'my', 'like', 'app', 'character', 'not', 'best']","['assistant\n\n""ChatGPT Conversational AI Technology""', '', '', '', '', '', '', '', '', '']","['""ChatGPT: My New Best Buddy""', '', '', '', '', '', '', '', '', '']",,1687,523,747,1112,8634,4.1401243800677
2,7644,2_character_very_app_good,"['character', 'very', 'app', 'good', 'this', 'love', 'nice', 'is', 'it', 'best']","['good', 'nice', 'awesome', 'excellent', 'character', 'app', 'beautiful', 'wonderful', 'great', 'this']","['character', 'app', 'good', 'love', 'nice', 'helpful', 'amazing', 'useful', 'great', 'thanks']","['assistant\n\nPositive Feedback for a Helpful App', '', '', '', '', '', '', '', '', '']","['""App\'s Helpfulness""', '', '', '', '', '', '', '', '', '']",,85,34,154,624,6747,4.820251177394034
3,6557,3_ai_best_the_this,"['ai', 'best', 'the', 'this', 'is', 'ever', 'and', 'it', 'of', 'for']","['ai', 'best', 'awesome', 'good', 'this', 'nice', 'better', 'its', 'amazing', 'it']","['ai', 'best', 'this', 'app', 'good', 'character', 'you', 'world', 'like', 'better']","['assistant\n\n""AI Application Evaluation""', '', '', '', '', '', '', '', '', '']","['""AI\'s Best Character Tool""', '', '', '', '', '', '', '', '', '']",,92,18,100,524,5823,4.82522495043465
4,3780,4_gemini_google_to_assistant,"['gemini', 'google', 'to', 'assistant', 'the', 'is', 'and', 'it', 'my', 'of']","['gemini', 'ai', 'like', 'good', 'best', 'me', 'using', 'love', 'this', 'better']","['gemini', 'google', 'assistant', 'can', 'not', 'ai', 'use', 'phone', 'better', 'this']","['assistant\n\n""Google Assistant and AI Technology""', '', '', '', '', '', '', '', '', '']","['""Google Assistant for Gemini Phone""', '', '', '', '', '', '', '', '', '']",,1054,233,287,359,1847,3.452910052910053
5,2746,5_but_sometimes_slow_wrong,"['but', 'sometimes', 'slow', 'wrong', 'not', 'it', 'some', 'good', 'answer', 'more']","['sometimes', 'good', 'wrong', 'bad', 'but', 'late', 'incorrect', 'mistakes', 'sometime', 'some']","['but', 'sometimes', 'slow', 'wrong', 'good', 'time', 'answers', 'needs', 'gives', 'improvement']","['assistant\n\n""Improving Information Search and Retrieval""', '', '', '', '', '', '', '', '', '']","['""Improving Slow Answers""', '', '', '', '', '', '', '', '', '']",,764,267,501,692,522,2.978514202476329
6,2522,6_assistant_phone_google_not,"['assistant', 'phone', 'google', 'not', 'it', 'my', 'can', 'this', 'to', 'on']","['phone', 'app', 'delete', 'cannot', 'remove', 'uninstall', 'not', 'device', 'bad', 'this']","['assistant', 'phone', 'google', 'app', 'off', 'working', 'bad', 'doesn', 'useless', 'uninstall']","['assistant\n\nGoogle Assistant Issues on Phone', '', '', '', '', '', '', '', '', '']","['""Google Assistant App Issues""', '', '', '', '', '', '', '', '', '']",,1974,183,123,90,152,1.5182394924662965
7,915,7_image_images_generate_not,"['image', 'images', 'generate', 'not', 'photo', 'picture', 'can', 'photos', 'pictures', 'upload']","['cannot', 'unable', 'generating', 'image', 'images', 'generated', 'picture', 'uploading', 'generate', 'pictures']","['images', 'generate', 'but', 'doesn', 'video', 'send', 'cannot', 'uploading', 'no', 'creating']","['assistant\n\n""Image Creation and Upload Issues""', '', '', '', '', '', '', '', '', '']","['""Image Generation Challenge""', '', '', '', '', '', '', '', '', '']",,463,90,128,134,100,2.254644808743169
8,794,8_grok_and_the_ai,"['grok', 'and', 'the', 'ai', 'is', 'to', 'of', 'with', 'it', 'for']","['grok', 'best', 'better', 'great', 'like', 'awesome', 'think', 'this', 'everything', 'things']","['grok', 'ai', 'with', 'you', 'elon', 'better', 'best', 'other', 'amazing', 'like']","['assistant\n\n""Elon Musk\'s AI Innovations""', '', '', '', '', '', '', '', '', '']","[""Elon's AI Advancement"", '', '', '', '', '', '', '', '', '']",,16,6,14,34,724,4.818639798488665
